iter	RMSE
264	2541.118713
265	2539.065321
266	2536.099373
267	2533.337277
268	2530.321573
269	2527.860971
270	2525.816815
271	2522.967904
272	2519.715869
273	2517.160198
274	2515.160733
275	2513.293428
276	2511.169436
277	2509.18938
278	2507.206579
279	2503.410516
280	2501.418671
281	2499.40104
282	2496.601036
283	2494.754423
284	2493.317576
285	2490.599026
286	2488.67935
287	2486.96621
288	2484.635588
289	2483.161056
290	2481.540148
291	2479.078646
292	2477.198038
293	2474.314936
294	2471.923152
295	2470.779237
296	2468.659217
297	2466.512256
298	2464.218746
299	2462.434318
300	2458.593485
301	2457.200316
302	2454.161761
303	2450.906909
304	2449.921182
305	2448.312294
306	2445.871042
307	2442.957644
308	2439.816621
309	2437.832555
310	2435.862826
311	2434.219978
312	2432.794945
313	2430.047806
314	2426.943355
315	2424.477826
316	2422.386084
317	2420.932685
318	2419.229793
319	2417.073918
320	2415.758554
321	2413.469024
322	2411.646072
323	2409.433995
324	2407.8756
325	2404.894179
326	2403.600583
327	2400.458288
328	2397.620068
329	2396.967826
330	2396.461485
331	2396.099095
332	2394.957745
333	2393.558328
334	2392.011042
335	2390.434347
336	2388.214623
337	2386.35575
338	2383.654348
339	2382.194281
340	2380.137757
341	2377.594579
342	2376.239282
343	2372.578801
344	2370.428745
345	2369.152154
346	2368.664734
347	2367.483348
348	2365.97687
349	2364.413714
350	2363.44221
351	2362.064558
352	2359.604422
353	2357.389719
354	2356.306509
355	2353.693918
356	2351.418767
357	2349.091723
358	2348.58299
359	2346.964188
360	2344.107362
361	2342.190387
362	2340.267093
363	2337.553551
364	2335.811452
365	2335.737874
366	2334.654792
367	2333.04562
368	2332.25388
369	2330.50337
370	2329.529754
371	2328.220303
372	2328.142594
373	2326.621277
374	2324.993948
375	2323.94997
376	2322.043346
377	2320.31728
378	2319.042928
379	2317.518825
380	2316.638981
381	2315.014904
382	2312.701741
383	2310.745134
384	2309.181154
385	2306.724916
386	2305.236077
387	2303.384482
388	2301.995595
389	2300.682571
390	2298.671258
391	2295.629437
392	2294.624883
393	2293.252808
394	2292.116499
395	2290.182029
396	2289.804555
397	2288.36397
398	2284.717471
399	2283.018695
400	2282.035508
401	2280.592872
402	2279.296916
403	2277.212864
404	2275.97778
405	2274.24214
406	2273.037818
407	2271.586818
408	2269.706038
409	2268.450114
410	2266.525674
411	2265.567084
412	2263.31628
413	2261.834832
414	2260.440468
415	2258.79652
416	2256.222544
417	2254.939184
418	2253.72857
419	2252.283692
420	2251.573156
421	2249.493427
422	2248.659672
423	2246.450027
424	2244.578174
425	2243.171829
426	2241.913028
427	2240.24114
428	2238.868391
429	2237.860772
430	2235.582727
431	2234.033409
432	2232.35339
433	2229.034219
434	2228.116199
435	2226.921854
436	2225.30769
437	2223.88597
438	2222.697669
439	2222.610088
440	2220.982771
441	2218.869538
442	2216.53632
443	2213.978025
444	2212.533657
445	2211.337692
446	2210.117965
447	2209.260017
448	2208.589963
449	2207.084907
450	2206.614391
451	2205.13077
452	2204.032363
453	2202.680277
454	2201.038399
455	2200.956757
456	2200.443268
457	2199.240697
458	2198.59431
459	2197.041372
460	2196.992585
461	2196.450152
462	2192.79365
463	2190.527641
464	2189.234001
465	2187.645084
466	2186.181095
467	2185.169466
468	2183.05832
469	2182.348824
470	2180.868721
471	2179.600036
472	2179.451137
473	2179.394483
474	2178.062637
475	2176.595697
476	2175.100198
477	2173.129521
478	2170.967158
479	2170.444526
480	2170.296066
481	2169.706243
482	2168.159607
483	2168.06552
484	2166.617487
485	2164.419369
486	2164.139812
487	2163.337022
488	2162.024393
489	2159.967251
490	2159.157586
491	2157.553843
492	2156.155273
493	2154.713378
494	2153.347468
495	2151.5302
496	2151.21024
497	2150.528685
498	2148.832949
499	2147.467064
500	2146.431594
501	2144.775397
502	2143.785445
503	2142.604884
504	2142.070505
505	2141.337126
506	2141.289303
507	2139.626448
508	2138.386638
509	2136.536819
510	2135.292168
511	2134.665334
512	2132.37855
513	2131.353106
514	2129.960937
515	2129.145112
516	2127.332177
517	2127.263713
518	2125.466725
519	2124.013061
520	2123.298791
521	2122.02784
522	2120.166575
523	2118.701352
524	2117.626264
525	2117.178559
526	2117.121976
527	2115.442135
528	2113.472601
529	2112.438579
530	2111.70887
531	2110.324983
532	2108.974109
533	2108.201167
534	2106.863137
535	2105.486285
536	2105.259744
537	2104.964859
538	2103.960207
539	2101.608682
540	2100.20362
541	2098.499166
542	2097.167075
543	2096.52331
544	2095.430486
545	2094.341869
546	2093.895467
547	2093.544084
548	2092.24456
549	2090.867434
550	2089.502719
551	2089.471683
552	2087.771199
553	2086.957051
554	2085.440699
555	2084.482115
556	2084.450898
557	2084.425901
558	2082.714426
559	2081.105891
560	2079.562237
561	2077.77021
562	2076.242966
563	2075.39769
564	2073.677014
565	2072.526107
566	2071.323311
567	2070.455571
568	2069.668039
569	2068.38859
570	2067.650726
571	2066.292073
572	2064.443609
573	2063.60954
574	2062.213351
575	2060.62225
576	2060.080641
577	2059.480463
578	2057.945306
579	2056.732277
580	2055.182023
581	2054.526987
582	2052.788354
583	2051.845528
584	2051.103521
585	2051.078661
586	2049.431773
587	2047.979684
588	2046.348457
589	2045.140248
590	2043.807043
591	2042.938531
592	2041.389189
593	2040.097938
594	2038.843889
595	2037.539053
596	2036.197419
597	2035.04465
598	2032.474456
599	2031.190857
600	2029.716092
601	2028.386395
602	2026.944936
603	2026.00712
604	2025.009413
605	2023.648894
606	2020.807353
607	2019.478587
608	2017.89692
609	2016.945344
610	2015.792096
611	2014.344771
612	2012.894268
613	2011.954427
614	2010.965134
615	2010.373542
616	2009.076964
617	2008.289875
618	2006.523318
619	2004.636067
620	2003.37601
621	2002.363359
622	2001.408562
623	2000.436138
624	1998.937459
625	1997.852605
626	1996.616114
627	1995.024683
628	1994.117978
629	1993.040774
630	1993.003028
631	1991.498619
632	1989.872819
633	1988.760093
634	1987.459708
635	1985.353139
636	1983.951841
637	1982.873926
638	1981.581507
639	1980.623049
640	1979.654273
641	1977.834239
642	1976.739042
643	1976.715681
644	1975.289147
645	1973.82708
646	1972.720412
647	1971.475302
648	1970.533809
649	1969.53545
650	1967.810227
651	1966.010919
652	1963.79918
653	1962.909681
654	1962.416852
655	1960.848655
656	1959.068738
657	1958.187124
658	1957.259154
659	1956.14811
660	1955.244246
661	1954.094631
662	1952.397477
663	1951.390939
664	1950.200008
665	1949.32832
666	1948.010039
667	1947.124938
668	1946.311779
669	1945.178868
670	1944.42039
671	1943.587138
672	1942.802423
673	1941.56278
674	1940.884801
675	1939.281762
676	1938.024487
677	1937.195757
678	1936.214814
679	1935.299325
680	1934.955746
681	1933.836272
682	1933.054601
683	1932.230304
684	1931.055507
685	1929.98602
686	1929.324276
687	1928.462961
688	1927.863815
689	1926.718519
690	1926.189754
691	1925.465695
692	1924.025609
693	1922.983379
694	1922.550611
695	1922.317832
696	1921.509241
697	1920.621659
698	1919.665982
699	1919.30489
700	1918.173432
701	1916.891627
702	1914.619105
703	1913.062341
704	1912.262608
705	1909.844144
706	1909.506288
707	1908.445807
708	1907.288593
709	1905.460356
710	1902.68624
711	1901.800123
712	1900.609018
713	1900.156779
714	1898.980654
715	1897.503986
716	1896.488013
717	1895.515761
718	1894.327663
719	1892.889167
720	1891.636262
721	1890.18634
722	1889.544618
723	1888.27146
724	1885.409414
725	1882.54797
726	1880.957304
727	1880.471376
728	1879.809192
729	1878.327804
730	1876.654993
731	1874.990671
732	1873.361246
733	1872.220564
734	1871.933209
735	1870.707335
736	1869.463631
737	1868.705721
738	1867.603019
739	1866.262059
740	1865.473928
741	1864.99939
742	1863.536123
743	1862.285506
744	1861.260796
745	1859.938074
746	1859.012569
747	1858.565625
748	1857.415484
749	1856.007714
750	1855.070664
751	1853.962812
752	1852.845324
753	1851.828575
754	1850.788535
755	1850.099336
756	1849.335358
757	1849.310379
758	1848.536529
759	1847.746871
760	1847.03247
761	1845.679273
762	1844.952646
763	1843.887849
764	1843.338955
765	1842.413329
766	1838.32712
767	1836.969329
768	1835.124546
769	1833.664753
770	1832.951062
771	1832.11239
772	1831.575227
773	1830.94367
774	1830.055191
775	1829.169676
776	1828.178189
777	1827.690318
778	1826.878827
779	1824.497898
780	1823.046133
781	1821.84167
782	1820.731424
783	1819.998799
784	1819.421445
785	1819.05414
786	1817.815623
787	1817.034894
788	1815.908617
789	1814.982964
790	1814.019882
791	1813.100709
792	1812.387358
793	1811.489482
794	1810.628327
795	1809.409783
796	1808.203552
797	1807.385282
798	1806.490343
799	1805.797327
800	1805.186741
801	1803.986459
802	1803.068429
803	1802.37869
804	1801.533015
805	1798.964983
806	1797.863526
807	1796.86512
808	1795.893967
809	1794.519456
810	1793.472605
811	1792.495582
812	1791.52644
813	1790.06499
814	1788.703146
815	1788.002499
816	1787.152178
817	1786.117312
818	1785.090899
819	1784.128703
820	1782.797754
821	1781.17621
822	1780.49226
823	1780.049976
824	1779.137617
825	1777.407924
826	1776.653869
827	1775.573532
828	1774.657507
829	1774.045815
830	1773.158887
831	1772.122343
832	1771.25009
833	1770.562776
834	1769.721951
835	1768.221971
836	1767.03494
837	1766.3746
838	1765.838356
839	1765.037405
840	1764.048031
841	1763.361336
842	1762.371586
843	1761.735455
844	1760.906934
845	1760.368586
846	1759.950619
847	1759.220079
848	1758.623346
849	1757.933319
850	1757.247209
851	1756.300297
852	1755.181131
853	1754.721965
854	1753.191984
855	1752.489566
856	1751.250286
857	1750.653449
858	1749.749566
859	1749.279551
860	1748.479044
861	1748.007374
862	1746.859636
863	1746.006728
864	1745.199299
865	1744.776221
866	1744.029331
867	1743.273532
868	1742.53185
869	1741.767774
870	1740.816056
871	1738.720966
872	1738.348112
873	1737.678139
874	1735.44404
875	1734.494892
876	1733.301404
877	1732.644258
878	1732.059375
879	1731.603865
880	1730.941108
881	1729.5348
882	1728.964178
883	1728.399394
884	1727.652345
885	1727.304585
886	1725.956601
887	1724.513647
888	1723.78652
889	1723.206289
890	1722.648128
891	1722.03333
892	1721.21845
893	1720.226974
894	1719.335365
895	1718.894663
896	1717.584723
897	1716.846674
898	1716.063166
899	1715.515804
900	1714.994599
901	1714.053841
902	1712.818639
903	1712.180633
904	1711.444808
905	1711.211881
906	1710.657527
907	1709.580594
908	1708.986402
909	1707.529927
910	1706.898889
911	1706.024291
912	1705.446154
913	1704.08184
914	1703.178184
915	1702.381796
916	1700.441697
917	1699.954367
918	1699.350904
919	1698.761108
920	1697.268106
921	1696.948598
922	1696.140194
923	1695.654546
924	1695.166063
925	1694.073372
926	1693.097011
927	1692.54427
928	1692.483402
929	1691.179997
930	1690.703059
931	1690.164697
932	1688.89587
933	1687.835706
934	1686.644919
935	1685.977036
936	1685.410069
937	1684.10496
938	1683.297379
939	1682.168997
940	1681.397193
941	1680.938032
942	1679.887708
943	1679.120325
944	1678.750278
945	1678.329157
946	1677.670727
947	1677.10134
948	1676.42967
949	1676.075461
950	1675.036194
951	1673.982599
952	1672.910919
953	1672.082503
954	1670.669696
955	1669.96865
956	1669.153412
957	1668.43369
958	1667.831478
959	1666.739956
960	1665.740668
961	1665.150341
962	1664.826274
963	1664.208303
964	1663.217813
965	1662.469665
966	1661.5493
967	1660.468039
968	1659.877307
969	1659.073098
970	1658.071349
971	1657.318249
972	1656.53841
973	1655.859768
974	1655.365353
975	1654.633745
976	1653.92194
977	1652.890576
978	1651.94562
979	1651.042328
980	1649.007185
981	1648.169556
982	1647.659944
983	1646.710444
984	1646.190461
985	1645.688507
986	1644.815833
987	1643.84398
988	1642.826026
989	1641.969185
990	1641.110375
991	1640.37769
992	1639.581717
993	1639.178225
994	1637.957964
995	1637.42774
996	1636.291492
997	1635.879774
998	1634.765754
999	1633.710513
