iter	Passed	Remaining
634	47147	27100
635	47254	27045
636	47371	26995
637	47448	26922
638	47538	26856
639	47657	26807
640	47718	26725
641	47798	26654
642	47867	26576
643	47942	26502
644	47996	26416
645	48116	26367
646	48180	26287
647	48303	26238
648	48366	26158
649	48449	26088
650	48547	26026
651	48618	25949
652	48740	25900
653	48819	25828
654	48943	25779
655	49033	25712
656	49132	25650
657	49235	25590
658	49358	25540
659	49471	25485
660	49532	25403
661	49607	25328
662	49694	25259
663	49805	25202
664	49891	25133
665	49944	25047
666	50015	24970
667	50106	24903
668	50194	24834
669	50297	24773
670	50382	24702
671	50470	24634
672	50530	24552
673	50698	24521
674	50937	24525
675	51109	24496
676	51193	24424
677	51294	24361
678	51419	24308
679	51486	24228
680	51584	24163
681	51645	24080
682	51744	24015
683	51969	24009
684	52031	23926
685	52151	23871
686	52231	23796
687	52309	23721
688	52391	23648
689	52517	23594
690	52586	23515
691	52653	23435
692	52767	23376
693	52835	23296
694	52900	23215
695	52966	23134
696	53065	23068
697	53152	22997
698	53249	22930
699	53307	22846
700	53378	22767
701	53459	22693
702	53518	22610
703	53625	22546
704	53690	22466
705	53787	22398
706	53857	22319
707	53909	22234
708	54002	22164
709	54082	22089
710	54193	22027
711	54281	21956
712	54396	21896
713	54451	21811
714	54510	21727
715	54590	21653
716	54667	21577
717	54727	21494
718	54833	21429
719	54910	21353
720	54998	21282
721	55091	21212
722	55191	21145
723	55301	21081
724	55392	21010
725	55444	20925
726	55560	20863
727	55622	20782
728	55722	20714
729	55799	20638
730	55880	20563
731	55948	20483
732	56035	20411
733	56104	20332
734	56200	20262
735	56281	20188
736	56355	20110
737	56424	20031
738	56494	19952
739	56576	19878
740	56694	19816
741	56762	19736
742	56836	19659
743	56924	19587
744	56981	19503
745	57072	19432
746	57128	19348
747	57204	19272
748	57321	19209
749	57384	19128
750	57463	19052
751	57531	18973
752	57601	18894
753	57748	18840
754	57825	18764
755	57894	18685
756	57958	18604
757	58010	18520
758	58093	18445
759	58196	18377
760	58269	18300
761	58346	18223
762	58433	18150
763	58505	18072
764	58559	17988
765	58647	17915
766	58727	17840
767	58812	17766
768	58905	17694
769	58963	17612
770	59050	17538
771	59137	17465
772	59206	17386
773	59268	17305
774	59352	17231
775	59407	17148
776	59460	17065
777	59564	16996
778	59635	16918
779	59719	16843
780	59781	16763
781	59867	16689
782	59949	16614
783	60019	16535
784	60109	16463
785	60170	16382
786	60263	16310
787	60330	16231
788	60390	16149
789	60474	16075
790	60539	15995
791	60603	15915
792	60771	15863
793	61007	15828
794	61146	15767
795	61244	15695
796	61329	15620
797	61403	15543
798	61518	15475
799	61607	15401
800	61695	15327
801	61877	15276
802	62123	15240
803	62256	15177
804	62444	15126
805	62549	15055
806	62687	14992
807	62834	14931
808	62976	14868
809	63067	14793
810	63157	14718
811	63244	14642
812	63365	14574
813	63481	14505
814	63581	14432
815	63692	14362
816	63795	14289
817	63938	14225
818	64034	14151
819	64148	14081
820	64266	14011
821	64335	13931
822	64423	13855
823	64527	13782
824	64625	13708
825	64712	13631
826	64777	13550
827	64877	13477
828	65027	13413
829	65091	13331
830	65174	13254
831	65252	13176
832	65339	13099
833	65398	13016
834	65468	12936
835	65563	12861
836	65669	12788
837	65770	12714
838	65858	12637
839	65914	12555
840	66051	12487
841	66106	12404
842	66191	12327
843	66297	12254
844	66348	12170
845	66445	12095
846	66511	12014
847	66648	11946
848	66752	11872
849	66824	11792
850	66897	11712
851	66958	11631
852	67121	11567
853	67257	11498
854	67324	11417
855	67409	11339
856	67527	11267
857	67599	11187
858	67692	11111
859	67774	11033
860	67848	10953
861	67920	10873
862	68011	10796
863	68083	10716
864	68200	10644
865	68264	10562
866	68337	10483
867	68427	10406
868	68552	10334
869	68678	10262
870	68773	10185
871	68847	10106
872	68985	10035
873	69064	9956
874	69167	9881
875	69227	9799
876	69320	9722
877	69419	9646
878	69484	9565
879	69559	9485
880	69622	9404
881	69680	9322
882	69789	9247
883	69868	9168
884	69944	9088
885	70015	9008
886	70085	8928
887	70185	8852
888	70241	8770
889	70303	8689
890	70419	8614
891	70477	8533
892	70589	8458
893	70649	8376
894	70742	8299
895	70817	8219
896	70890	8140
897	70979	8062
898	71046	7981
899	71112	7901
900	71187	7821
901	71250	7741
902	71374	7666
903	71445	7587
904	71509	7506
905	71633	7432
906	71733	7355
907	71818	7276
908	71870	7194
909	71968	7117
910	72044	7038
911	72297	6976
912	72425	6901
913	72573	6828
914	72707	6754
915	72843	6680
916	72947	6602
917	73059	6526
918	73247	6455
919	73343	6377
920	73425	6298
921	73520	6219
922	73591	6139
923	73755	6066
924	73807	5984
925	73988	5912
926	74088	5834
927	74168	5754
928	74245	5674
929	74327	5594
930	74412	5514
931	74529	5437
932	74596	5356
933	74674	5276
934	74747	5196
935	74816	5115
936	74915	5036
937	75027	4959
938	75203	4885
939	75336	4808
940	75471	4732
941	75678	4659
942	75787	4581
943	75904	4502
944	76005	4423
945	76076	4342
946	76171	4263
947	76243	4182
948	76360	4103
949	76470	4024
950	76532	3943
951	76622	3863
952	76775	3786
953	76865	3706
954	76966	3626
955	77059	3546
956	77132	3465
957	77246	3386
958	77320	3305
959	77439	3226
960	77506	3145
961	77610	3065
962	77691	2985
963	77746	2903
964	77837	2823
965	77978	2744
966	78062	2663
967	78145	2583
968	78226	2502
969	78333	2422
970	78416	2341
971	78476	2260
972	78575	2180
973	78652	2099
974	78711	2018
975	78824	1938
976	78903	1857
977	78990	1776
978	79072	1696
979	79138	1615
980	79194	1533
981	79286	1453
982	79365	1372
983	79417	1291
984	79518	1210
985	79591	1130
986	79667	1049
987	79753	968
988	79809	887
989	79873	806
990	79943	726
991	80008	645
992	80082	564
993	80145	483
994	80211	403
995	80304	322
996	80377	241
997	80459	161
998	80553	80
999	80622	0
